name
ROLE_ADMIN
ROLE_USER
ROLE_COMPANY_OWNER
ROLE_SALES_MANAGER
ROLE_SALES_ASSISTANT
ROLE_AGRONOM_ENGINEER
ROLE_POST_HARVEST_MANAGER
ROLE_GENERAL_MANAGER
ROLE_ACCOUNTANT_MANAGER
ROLE_ACCOUNTANT_ASSISTANT
ROLE_CLAIMS_MANAGER
ROLE_CLAIMS_ASSISTANT
ROLE_COORDINATION_MANAGER
ROLE_SYSTEM_MANAGER
